train,val
TCGA-02-0006,TCGA-02-0046
TCGA-02-0009,TCGA-02-0059
TCGA-02-0011,TCGA-02-0102
TCGA-02-0027,TCGA-02-0116
TCGA-02-0033,TCGA-06-0122
TCGA-02-0034,TCGA-06-0138
TCGA-02-0037,TCGA-06-0162
TCGA-02-0047,TCGA-06-0164
TCGA-02-0054,TCGA-06-0179
TCGA-02-0064,TCGA-06-0646
TCGA-02-0068,TCGA-06-5413
TCGA-02-0069,TCGA-06-5417
TCGA-02-0070,TCGA-08-0356
TCGA-02-0075,TCGA-08-0512
TCGA-02-0085,TCGA-12-0616
TCGA-02-0086,TCGA-12-0776
TCGA-02-0087,TCGA-19-5960
TCGA-02-0106,TCGA-76-6280
TCGA-06-0119,TCGA-76-6662
TCGA-06-0130,TCGA-76-6664
TCGA-06-0137,TCGA-CS-4942
TCGA-06-0139,TCGA-CS-4944
TCGA-06-0142,TCGA-CS-5397
TCGA-06-0145,TCGA-CS-6665
TCGA-06-0149,TCGA-DU-7014
TCGA-06-0154,TCGA-DU-7015
TCGA-06-0158,TCGA-DU-7018
TCGA-06-0176,TCGA-DU-7019
TCGA-06-0177,TCGA-DU-7302
TCGA-06-0182,TCGA-HT-7879
TCGA-06-0184,TCGA-HT-8111
TCGA-06-0185,TCGA-HT-8114
TCGA-06-0187,TCGA-HT-8563
TCGA-06-0188,
TCGA-06-0190,
TCGA-06-0192,
TCGA-06-0238,
TCGA-06-0240,
TCGA-06-0644,
TCGA-06-1084,
TCGA-06-1802,
TCGA-06-2570,
TCGA-06-5408,
TCGA-06-6389,
TCGA-08-0355,
TCGA-08-0359,
TCGA-08-0389,
TCGA-08-0390,
TCGA-08-0392,
TCGA-08-0509,
TCGA-08-0520,
TCGA-12-0829,
TCGA-12-1094,
TCGA-12-1098,
TCGA-12-1598,
TCGA-12-3650,
TCGA-14-1456,
TCGA-14-1794,
TCGA-14-1825,
TCGA-14-3477,
TCGA-19-0963,
TCGA-19-1789,
TCGA-19-2624,
TCGA-19-2631,
TCGA-19-5951,
TCGA-19-5954,
TCGA-19-5958,
TCGA-76-4932,
TCGA-76-4934,
TCGA-76-4935,
TCGA-76-6191,
TCGA-76-6193,
TCGA-76-6282,
TCGA-76-6285,
TCGA-76-6656,
TCGA-76-6657,
TCGA-76-6661,
TCGA-76-6663,
TCGA-CS-5393,
TCGA-CS-5396,
TCGA-CS-6186,
TCGA-CS-6188,
TCGA-CS-6666,
TCGA-CS-6668,
TCGA-CS-6669,
TCGA-DU-5851,
TCGA-DU-5854,
TCGA-DU-5855,
TCGA-DU-5872,
TCGA-DU-5874,
TCGA-DU-6404,
TCGA-DU-6542,
TCGA-DU-7008,
TCGA-DU-7010,
TCGA-DU-7294,
TCGA-DU-7298,
TCGA-DU-7299,
TCGA-DU-7300,
TCGA-DU-7301,
TCGA-DU-7304,
TCGA-DU-7306,
TCGA-DU-7309,
TCGA-DU-8162,
TCGA-DU-8164,
TCGA-DU-8166,
TCGA-DU-8167,
TCGA-DU-8168,
TCGA-DU-A5TR,
TCGA-DU-A5TS,
TCGA-DU-A5TT,
TCGA-DU-A5TU,
TCGA-DU-A5TW,
TCGA-DU-A5TY,
TCGA-DU-A6S7,
TCGA-DU-A6S8,
TCGA-FG-5964,
TCGA-FG-6689,
TCGA-FG-6691,
TCGA-FG-6692,
TCGA-FG-7634,
TCGA-FG-A4MT,
TCGA-HT-7473,
TCGA-HT-7602,
TCGA-HT-7680,
TCGA-HT-7686,
TCGA-HT-7690,
TCGA-HT-7694,
TCGA-HT-7884,
TCGA-HT-8018,
TCGA-HT-A61A,
